time,asset,scope,modbus_unit_id,readtime,active_power,active_energy
2021-07-28 11:45:15+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,,
2021-07-28 11:30:15+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,,
2021-07-28 11:15:10+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,0,90419000
2021-07-28 11:00:15+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,69.84,90419000
2021-07-28 10:45:10+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,178.38,90419000
2021-07-28 10:30:15+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,1292.44,90418000
2021-07-28 10:15:10+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,5118.21,90418000
2021-07-28 10:00:09+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,10477.42,90417000
2021-07-28 09:45:15+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,14700.5,90414000
2021-07-28 09:30:10+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,10176.18,90410000
2021-07-28 09:15:15+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,14190.95,90407000
2021-07-28 09:00:10+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,5664.03,90403000
2021-07-28 08:45:15+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,5044.77,90402000
2021-07-28 08:30:10+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,14512.16,90401000
2021-07-28 08:15:09+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,19288.65,90398000
2021-07-28 08:00:09+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,29072.94,90393000
2021-07-28 07:45:15+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,32065.44,90386000
2021-07-28 07:30:10+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,32611.84,90378000
2021-07-28 07:15:15+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,37023.75,90370000
2021-07-28 07:00:10+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,42054.5,90361000
2021-07-28 06:45:15+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,26687.87,90350000
2021-07-28 06:30:10+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,24268.37,90344000
2021-07-28 06:15:09+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,17913.09,90338000
2021-07-28 06:00:15+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,13348.4,90334000
2021-07-28 05:45:10+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,32264.39,90331000
2021-07-28 05:30:15+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,14910.65,90323000
2021-07-28 05:15:10+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,59263.71,90319000
2021-07-28 05:00:15+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,42714.24,90304000
2021-07-28 04:45:10+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,74206.11,90293000
2021-07-28 04:30:09+00,ABB-111890-3Q15-3720,3a32579c-40a4-4f8c-addc-2e8179ac4393,,,64498.89,90274000
